cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
89, 5, 0, 0, 1, 1, 0.999, 442, 4.85714
90, 9, 9, 0, 1, 1, 0.999, 451, 4.90217
91, 9, 0, 0, 1, 1, 0.999, 451, 4.84946
92, 9, 0, 0, 1, 1, 0.999, 451, 4.79787
93, 9, 0, 2, 1, 1, 0.999, 451, 4.74737
94, 5, 9, 0, 1, 1, 0.999, 460, 4.79167
95, 9, 9, 2, 1, 1, 0.999, 469, 4.83505
96, 5, 9, 2, 1, 1, 0.999, 478, 4.87755
97, 7, 9, 0, 1, 1, 0.999, 487, 4.91919
98, 5, 9, 2, 1, 1, 0.999, 496, 4.96
99, 7, 9, 0, 1, 1, 0.999, 505, 5
100, 5, 9, 3, 1, 1, 0.999, 514, 5.03922
101, 5, 0, 0, 1, 1, 0.999, 514, 4.99029
102, 9, 9, 1, 1, 1, 0.999, 523, 5.02885
103, 10, 9, 1, 1, 1, 0.999, 532, 5.06667
104, 8, 9, 2, 1, 1, 0.999, 541, 5.10377
105, 5, 9, 2, 1, 1, 0.999, 550, 5.14019
106, 7, 20, 1, -1, -1, -1, 570, 5.3271
107, 10, 10, 0, 1, 1, 0.999, 10, 5
108, 10, 0, 3, 1, 1, 0.999, 10, 3.33333
109, 9, 9, 1, 1, 1, 0.999, 19, 4.75
110, 10, 9, 1, 1, 1, 0.999, 28, 5.6
111, 8, 9, 0, 1, 1, 0.999, 37, 6.16667
112, 8, 0, 0, 1, 1, 0.999, 37, 5.28571
113, 8, 0, 2, 1, 1, 0.999, 37, 4.625
114, 5, 9, 0, 1, 1, 0.999, 46, 5.11111
115, 8, 9, 1, 1, 1, 0.999, 55, 5.5
116, 10, 9, 3, 1, 1, 0.999, 64, 5.81818
117, 8, 9, 3, 1, 1, 0.999, 73, 6.08333
118, 10, 9, 0, 1, 1, 0.999, 82, 6.30769
119, 10, 0, 1, 1, 1, 0.999, 82, 5.85714
120, 8, 9, 0, 1, 1, 0.999, 91, 6.06667
121, 8, 0, 0, 1, 1, 0.999, 91, 5.6875
122, 8, 0, 2, 1, 1, 0.999, 91, 5.35294
123, 5, 9, 0, 1, 1, 0.999, 100, 5.55556
124, 8, 9, 0, 1, 1, 0.999, 109, 5.73684
125, 8, 0, 3, 1, 1, 0.999, 109, 5.45
126, 10, 9, 3, 1, 1, 0.999, 118, 5.61905
127, 9, 9, 2, 1, 1, 0.999, 127, 5.77273
128, 5, 9, 1, 1, 1, 0.999, 136, 5.91304
129, 5, 0, 3, 1, 1, 0.999, 136, 5.66667
130, 5, 0, 1, 1, 1, 0.999, 136, 5.44
131, 5, 0, 3, 1, 1, 0.999, 136, 5.23077
132, 5, 0, 1, 1, 1, 0.999, 136, 5.03704
133, 5, 0, 0, 1, 1, 0.999, 136, 4.85714
134, 9, 9, 3, 1, 1, 0.999, 145, 5
135, 9, 0, 0, 1, 1, 0.999, 145, 4.83333
136, 9, 0, 1, 1, 1, 0.999, 145, 4.67742
137, 10, 9, 2, 1, 1, 0.999, 154, 4.8125
138, 10, 0, 0, 1, 1, 0.999, 154, 4.66667
139, 10, 0, 0, 1, 1, 0.999, 154, 4.52941
140, 10, 0, 0, 1, 1, 0.999, 154, 4.4
141, 10, 0, 2, 1, 1, 0.999, 154, 4.27778
142, 10, 0, 2, 1, 1, 0.999, 154, 4.16216
143, 10, 0, 3, 1, 1, 0.999, 154, 4.05263
144, 9, 9, 1, 1, 1, 0.999, 163, 4.17949
145, 10, 9, 2, 1, 1, 0.999, 172, 4.3
146, 10, 0, 0, 1, 1, 0.999, 172, 4.19512
147, 10, 0, 3, 1, 1, 0.999, 172, 4.09524
148, 9, 9, 3, 1, 1, 0.999, 181, 4.2093
149, 9, 0, 3, 1, 1, 0.999, 181, 4.11364
150, 9, 0, 0, 1, 1, 0.999, 181, 4.02222
151, 9, 0, 2, 1, 1, 0.999, 181, 3.93478
152, 5, 9, 3, 1, 1, 0.999, 190, 4.04255
153, 5, 0, 0, 1, 1, 0.999, 190, 3.95833
154, 9, 9, 2, 1, 1, 0.999, 199, 4.06122
155, 5, 9, 0, 1, 1, 0.999, 208, 4.16
156, 9, 9, 0, 1, 1, 0.999, 217, 4.2549
157, 9, 0, 3, 1, 1, 0.999, 217, 4.17308
158, 9, 0, 3, 1, 1, 0.999, 217, 4.09434
159, 9, 0, 3, 1, 1, 0.999, 217, 4.01852
160, 9, 0, 1, 1, 1, 0.999, 217, 3.94545
161, 10, 9, 2, 1, 1, 0.999, 226, 4.03571
162, 10, 0, 2, 1, 1, 0.999, 226, 3.96491
163, 10, 0, 3, 1, 1, 0.999, 226, 3.89655
164, 9, 9, 0, 1, 1, 0.999, 235, 3.98305
165, 9, 0, 0, 1, 1, 0.999, 235, 3.91667
166, 9, 0, 2, 1, 1, 0.999, 235, 3.85246
167, 5, 9, 2, 1, 1, 0.999, 244, 3.93548
168, 7, 9, 2, 1, 1, 0.999, 253, 4.01587
169, 7, 0, 1, 1, 1, 0.999, 253, 3.95312
170, 7, 0, 0, 1, 1, 0.999, 253, 3.89231
171, 5, 9, 3, 1, 1, 0.999, 262, 3.9697
172, 5, 0, 3, 1, 1, 0.999, 262, 3.91045
173, 5, 0, 3, 1, 1, 0.999, 262, 3.85294
174, 5, 0, 1, 1, 1, 0.999, 262, 3.7971
175, 5, 0, 2, 1, 1, 0.999, 262, 3.74286
176, 7, 9, 3, 1, 1, 0.999, 271, 3.8169
177, 7, 0, 0, 1, 1, 0.999, 271, 3.76389
178, 5, 9, 2, 1, 1, 0.999, 280, 3.83562
179, 7, 9, 3, 1, 1, 0.999, 289, 3.90541
180, 7, 0, 1, 1, 1, 0.999, 289, 3.85333
181, 7, 0, 0, 1, 1, 0.999, 289, 3.80263
182, 5, 9, 1, 1, 1, 0.999, 298, 3.87013
183, 5, 0, 1, 1, 1, 0.999, 298, 3.82051
184, 5, 0, 1, 1, 1, 0.999, 298, 3.77215
185, 5, 0, 2, 1, 0, 0.999, 298, 3.725
186, 7, 9, 2, 1, 1, 0.999, 307, 3.79012
187, 7, 0, 1, 1, 1, 0.999, 307, 3.7439
188, 7, 0, 0, 1, 1, 0.999, 307, 3.6988
189, 5, 9, 1, 1, 1, 0.999, 316, 3.7619
190, 5, 0, 0, 1, 1, 0.999, 316, 3.71765
191, 9, 9, 1, 1, 1, 0.999, 325, 3.77907
192, 10, 9, 1, 1, 1, 0.999, 334, 3.83908
193, 8, 9, 3, 1, 1, 0.999, 343, 3.89773
194, 10, 9, 2, 1, 1, 0.999, 352, 3.95506
195, 10, 0, 0, 1, 1, 0.999, 352, 3.91111
196, 10, 0, 1, 1, 1, 0.999, 352, 3.86813
197, 8, 9, 3, 1, 1, 0.999, 361, 3.92391
198, 10, 9, 0, 1, 1, 0.999, 370, 3.97849
199, 10, 0, 0, 1, 1, 0.999, 370, 3.93617
200, 10, 0, 3, 1, 1, 0.999, 370, 3.89474
201, 9, 9, 0, 1, 1, 0.999, 379, 3.94792
202, 9, 0, 0, 1, 1, 0.999, 379, 3.90722
203, 9, 0, 3, 1, 1, 0.999, 379, 3.86735
204, 9, 0, 2, 1, 1, 0.999, 379, 3.82828
205, 5, 9, 3, 1, 1, 0.999, 388, 3.88
206, 5, 0, 0, 1, 1, 0.999, 388, 3.84158
207, 9, 9, 3, 1, 1, 0.999, 397, 3.89216
208, 9, 0, 0, 1, 1, 0.999, 397, 3.85437
209, 9, 0, 3, 1, 1, 0.999, 397, 3.81731
210, 9, 0, 2, 1, 1, 0.999, 397, 3.78095
211, 5, 9, 0, 1, 1, 0.999, 406, 3.83019
212, 9, 9, 0, 1, 1, 0.999, 415, 3.8785
213, 9, 0, 2, 1, 1, 0.999, 415, 3.84259
214, 5, 9, 0, 1, 1, 0.999, 424, 3.88991
215, 9, 9, 2, 1, 1, 0.999, 433, 3.93636
216, 5, 9, 2, 1, 1, 0.999, 442, 3.98198
217, 7, 9, 0, 1, 1, 0.999, 451, 4.02679
218, 5, 9, 3, 1, 1, 0.999, 460, 4.0708
219, 5, 0, 3, 1, 1, 0.999, 460, 4.03509
220, 5, 0, 0, 1, 1, 0.999, 460, 4
221, 9, 9, 0, 1, 1, 0.999, 469, 4.0431
